Designator,Comment,Footprint,JLCPCB Part #
"R6,R4,R5,R3",49.9,R_0402_1005Metric,C25120
U1,LAN9500A-ABZJ,QFN56_8X8MC_MCH,C2651877
"C7,C19,C2",100nF,C_0402_1005Metric,C1525
C20,10u,C_1206_3216Metric,C13585
U2,AP63205WU-7,SOIC_05WU-7_DIO,C2071056
J4,CRJ032-1-TH,RJ45_Socket,C3178604
"R8,R7",75,R_0402_1005Metric,C25133
"FB3,FB1,FB2",MMZ1608B121CTAH0,C_0603_1608Metric,C275436
"R9,R12",4k7,R_0402_1005Metric,C25900
"C16,C15",1.5nF,C_0201_0603Metric,C161482
"C22,C21",0.1u,C_0603_1608Metric,C14663
"C17,C11",4.7nF,C_0402_1005Metric,C1538
R11,330,R_0402_1005Metric,C25104
"C24,C23",22u,C_1206_3216Metric,C5672
XTAL1,SIT1602AI-32-33E-25.000000Y,SON4_SIT1602-3_SIT,C70711
L1,4.7u,L_Changjiang_FXL0630,C167221
"C10,C1,C12,C13",4.7nF,C_0201_0603Metric,C66943
"C4,C9,C8,C6",100nF,C_0201_0603Metric,C49062
C18,1nF 2KV,C_1206_3216Metric,C9196
"J5,J6",JST EH,JST_EH_B4B-EH-A_1x04_P2.50mm_Vertical,C160258
R13,0,R_0402_1005Metric,C17168
"R1,R2",12K 1%,R_0402_1005Metric,C25752
C5,1uF,C_0201_0603Metric,C53067
J1,Pi Header,PinSocket_2x20_P2.54mm_Vertical,C35165
T1,PT61018PEL,XFMR_PT61018PEL,C840586
C3,22nF,C_0402_1005Metric,C1532
R10,33,R_0402_1005Metric,C25105
C14,1.5nF,C_0402_1005Metric,C23967
D1,APT1608LZGCK,C_0805_2012Metric,C5246833
"J3,J2",Pogo Pin,YZP0009-20130-01,C22472327